город Москва, проспект Вернадского, дом 6	Кафе «Шоколадница»	(495) 644-34-00
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Ливан Хаус	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Бургер Кинг	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Cinnabon	нет телефона
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Вкусно - и точка	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Ресторан «Grano»	нет телефона
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	РЕСТОРАН TGI FRIDAY S	(495) 644-35-00
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	TORRO GRILL WINE BAR	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Pho Bo	нет телефона
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Osteria Mario	(495) 790-70-90
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Mia Dolcezza	(495) 644-38-34
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	ONE PRICE COFFEE	(495) 644-34-38
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Фудтрак ( 4 объекта)	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Stars Coffee	нет телефона
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	FRENCH BAKERY SEDELICE COFFEE	(495) 644-34-38
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	MYBOX	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Крошка Картошка	(495) 644-38-56
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Tutti frutti	нет телефона
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	KFC	(495) 644-36-58
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Кафе при развлекательном комплексе «Космик»	(495) 644-32-41
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Pizzeria Fettuccine	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	KITSUNE КАФЕ	нет телефона
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Subway	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Шоколадница	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Теремок	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	POKEMAN	(495) 664-35-56
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Воккер	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	DOUGHNUTS & COFFE	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Мак кафе	(495) 644-34-88
Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, проспект Вернадского, дом 6	Кинза	(495) 644-34-88
